Pickup_Latitude,Pickup_Longitude,Dropoff_Lattitude,Dropoff_Longitude,Counts
40.76,-73.984,40.75,-73.992,742
40.765,-73.98,40.751,-73.991,742
40.763,-73.982,40.757,-73.99,741
40.73,-73.978,40.734,-73.989,740
40.756,-73.991,40.764,-73.973,740
40.741,-74.006,40.75,-73.995,739
40.747,-73.997,40.756,-73.991,739
40.762,-73.966,40.77,-73.961,738
40.757,-73.975,40.75,-73.991,737
40.763,-73.982,40.751,-73.99,737
40.75,-73.991,40.763,-73.982,736
40.756,-73.972,40.75,-73.991,734
40.751,-73.976,40.75,-73.991,733
40.756,-73.975,40.76,-73.972,733
40.759,-73.986,40.751,-73.991,733
40.752,-73.975,40.75,-73.991,732
40.779,-73.954,40.784,-73.95,732
40.752,-73.978,40.748,-73.985,731
40.767,-73.954,40.763,-73.968,731
40.705,-74.017,40.75,-73.995,730
40.753,-73.979,40.75,-73.991,730
40.75,-73.988,40.756,-74.002,729
40.755,-73.98,40.751,-73.991,729
40.759,-73.992,40.75,-73.995,729
40.743,-73.986,40.749,-73.992,728
40.744,-73.992,40.753,-73.979,728
40.744,-74,40.75,-73.995,728
40.746,-73.998,40.756,-73.991,728
40.75,-73.991,40.755,-73.978,727
40.762,-73.979,40.77,-73.865,727
40.747,-73.981,40.751,-73.978,726
40.755,-73.973,40.774,-73.873,726
40.756,-73.99,40.75,-73.991,726
40.763,-73.972,40.775,-73.963,726
40.765,-73.966,40.753,-73.975,726
40.774,-73.871,40.764,-73.981,726
40.743,-74,40.756,-73.991,725
40.751,-73.994,40.758,-74,725
40.772,-73.959,40.777,-73.955,725
40.774,-73.874,40.756,-73.973,725
40.751,-73.994,40.756,-73.974,724
40.756,-73.991,40.76,-73.98,724
40.763,-73.974,40.751,-73.991,724
40.745,-73.999,40.756,-73.991,722
40.75,-73.991,40.751,-73.979,722
40.762,-73.986,40.75,-73.991,722
40.751,-73.994,40.764,-73.985,721
40.754,-73.978,40.75,-73.991,721
40.764,-73.974,40.75,-73.991,721
40.743,-73.985,40.751,-73.978,720
40.762,-73.979,40.774,-73.872,720
40.77,-73.864,40.758,-73.986,720
40.773,-73.949,40.779,-73.955,720
40.756,-73.983,40.75,-73.991,718
40.765,-73.966,40.765,-73.958,718
40.774,-73.871,40.756,-73.983,718
40.741,-73.986,40.749,-73.992,717
40.75,-73.991,40.741,-73.979,717
40.753,-73.975,40.75,-73.991,717
40.76,-73.976,40.75,-73.991,717
40.762,-73.982,40.751,-73.991,717
40.705,-74.016,40.715,-74.014,716
40.751,-73.994,40.764,-73.983,716
40.761,-73.985,40.75,-73.991,716
40.766,-73.987,40.75,-73.995,716
40.761,-73.983,40.751,-73.991,715
40.774,-73.871,40.756,-73.982,715
40.721,-74.01,40.714,-74.012,714
40.742,-73.975,40.746,-73.981,714
40.756,-73.99,40.759,-73.979,714
40.758,-73.985,40.751,-73.991,714
40.758,-73.989,40.774,-73.873,714
40.75,-73.991,40.755,-73.976,713
40.754,-73.977,40.75,-73.991,713
40.765,-73.983,40.75,-73.991,713
40.757,-73.99,40.751,-73.991,711
40.762,-73.975,40.748,-73.985,711
40.757,-73.99,40.755,-73.977,710
40.76,-73.986,40.75,-73.995,710
40.763,-73.983,40.751,-73.991,710
